img_path,pred,label
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_15918243_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_49594494_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_26121208_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_10149422_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_422676211_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_10149663_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_47779842_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_47779615_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_422676384_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_422676340_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_422676383_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_48464315_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_26121176_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_15918603_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_422676505_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_5981900_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_15918239_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_10644127_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_48464647_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_6135395_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_48464484_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/white-page/https_ids.lib.harvard.edu_ids_iiif_10149662_full_full_0_native.jpg,white-page,white-page
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_16032720_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_9900486_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_47957732_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_49593689_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_49593688_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_10840964_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_49593691_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_10840671_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_5982052_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_15918615_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_10310134_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_10614573_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_26121170_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_49309556_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_9828531_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_47957969_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_4771816_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_26121168_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_9900147_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/https_ids.lib.harvard.edu_ids_iiif_48464303_full_full_0_native.jpg,binding,binding
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_5981700_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_48464311_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_17695713_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_16032523_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_10614809_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_10149361_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_16032501_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_5981100_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_26121439_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_9828169_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_48464644_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_15918606_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_48464646_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_10840676_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_5981682_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_6135452_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_9900156_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_10310135_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/white-page/https_ids.lib.harvard.edu_ids_iiif_16032346_full_full_0_native.jpg,binding,white-page
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310428_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310256_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310430_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310226_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310232_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310418_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310314_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310210_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310426_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310236_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_5981778_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310448_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/text/https_ids.lib.harvard.edu_ids_iiif_10310446_full_full_0_native.jpg,binding,text
data/harvard_pred/binding/calendar/https_ids.lib.harvard.edu_ids_iiif_10310143_full_full_0_native.jpg,binding,calendar
data/harvard_pred/binding/calendar/https_ids.lib.harvard.edu_ids_iiif_10310269_full_full_0_native.jpg,binding,text-with-miniature
data/harvard_pred/binding/calendar/https_ids.lib.harvard.edu_ids_iiif_10310271_full_full_0_native.jpg,binding,calendar
data/harvard_pred/binding/miniature/https_ids.lib.harvard.edu_ids_iiif_10310278_full_full_0_native.jpg,binding,miniature
data/harvard_pred/binding/miniature/https_ids.lib.harvard.edu_ids_iiif_10310406_full_full_0_native.jpg,binding,miniature
data/harvard_pred/binding/miniature/https_ids.lib.harvard.edu_ids_iiif_10614577_full_full_0_native.jpg,binding,miniature
data/harvard_pred/binding/text-with-miniature/https_ids.lib.harvard.edu_ids_iiif_9900251_full_full_0_native.jpg,binding,miniature-with-text
data/harvard_pred/binding/text-with-miniature/https_ids.lib.harvard.edu_ids_iiif_15963908_full_full_0_native.jpg,binding,text-with-miniature
data/harvard_pred/binding/text-with-miniature/https_ids.lib.harvard.edu_ids_iiif_10310279_full_full_0_native.jpg,binding,text-with-miniature
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_10908882_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_10644230_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_10614737_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_10149515_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_15918438_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_5981206_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_10149541_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_26121354_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_49756677_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_10644154_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_5981230_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_5981702_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_47957913_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_10644194_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_9900344_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_10644223_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_10149483_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_10644244_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_49756469_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_49756628_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_47957850_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_5981150_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_26121370_full_full_0_native.jpg,miniature-and-text,miniature-and-text
data/harvard_pred/miniature-and-text/https_ids.lib.harvard.edu_ids_iiif_422676237_full_full_0_native.jpg,miniature-and-text,miniature-and-text
